City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Vardo,70.3705,31.1107,35.58,87,100,18.41,NO,2023-01-17 02:16:25
67,Upernavik,72.7868,-56.1549,-2.96,96,100,6.02,GL,2023-01-17 02:17:13
68,Busselton,-33.65,115.3333,66.81,37,1,9.57,AU,2023-01-17 02:17:15
69,Tasiilaq,65.6145,-37.6368,19.56,74,100,7.76,GL,2023-01-17 02:17:15
70,Carnarvon,-24.8667,113.6333,78.55,47,0,21.83,AU,2023-01-17 02:15:52
71,Saldanha,-33.0117,17.9442,63.03,89,3,4.7,ZA,2023-01-17 02:17:16
72,Bluff,-46.6,168.3333,60.15,76,78,10.4,NZ,2023-01-17 02:17:17
73,Korla,41.7597,86.1469,3.36,94,77,1.72,CN,2023-01-17 02:17:18
74,Albany,42.6001,-73.9662,29.26,68,10,5.1,US,2023-01-17 02:13:15
75,Maceio,-9.6658,-35.7353,74.64,94,40,2.3,BR,2023-01-17 02:17:19
76,Jamestown,42.097,-79.2353,35.24,64,0,6.91,US,2023-01-17 02:15:10
77,Bengkulu,-3.8004,102.2655,80.71,73,76,3.04,ID,2023-01-17 02:17:21
78,Acarau,-2.8856,-40.12,76.28,86,100,3.65,BR,2023-01-17 02:17:22
79,Tosno,59.54,30.8775,35.42,92,100,8.99,RU,2023-01-17 02:17:22
80,Puerto Ayora,-0.7393,-90.3518,75.54,95,67,5.86,EC,2023-01-17 02:17:23
81,Marsa Matruh,31.3525,27.2453,58.42,69,1,4.27,EG,2023-01-17 02:17:24
82,Nome,64.5011,-165.4064,19.47,73,100,13.8,US,2023-01-17 02:14:29
83,Dosso,13.049,3.1937,65.52,21,100,10.2,NE,2023-01-17 02:17:25
84,Yaan,7.3833,8.5667,75.02,21,36,4.54,NG,2023-01-17 02:17:25
85,Cidreira,-30.1811,-50.2056,74.23,82,69,11.12,BR,2023-01-17 02:17:26
86,Wieliczka,49.9874,20.0647,39.94,77,99,3.0,PL,2023-01-17 02:17:27
87,Tongren,27.7172,109.1853,38.26,42,100,2.39,CN,2023-01-17 02:17:27
88,Namatanai,-3.6667,152.4333,83.32,72,100,5.66,PG,2023-01-17 02:17:28
89,San Quintin,30.4833,-115.95,58.08,81,98,14.92,MX,2023-01-17 02:17:29
90,East London,-33.0153,27.9116,73.67,93,100,5.5,ZA,2023-01-17 02:14:29
91,Katsuura,35.1333,140.3,47.64,60,95,9.22,JP,2023-01-17 02:17:00
92,Mogocha,53.7333,119.7667,-23.64,91,74,2.64,RU,2023-01-17 02:18:31
93,Kodiak,57.79,-152.4072,35.11,93,100,12.66,US,2023-01-17 02:18:32
94,Castro,-24.7911,-50.0119,65.46,94,100,1.01,BR,2023-01-17 02:18:32
95,Kawalu,-7.3817,108.2082,80.71,77,76,2.24,ID,2023-01-17 02:18:33
96,Hirara,24.8,125.2833,67.86,72,75,11.5,JP,2023-01-17 02:18:34
97,Boende,-0.2167,20.8667,71.53,90,95,2.53,CD,2023-01-17 02:18:34
